PlayerFirstName,PlayerLastName,TeamShortName,GP,Poss,Time,PPP,PPG,FGM,FGA,FG,aFG,FT,TO,SF,FGmG,Score
Tarik,Black,Houston,42,1,0.63291102647781,1.0,0.023809523809524,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
Torrey,Craig,Denver,26,3,2.5641000270844,0.33333298563957,0.038461538461538,0,2,0.0,0.0,33.333333333333,0.0,33.333333333333,0.076923076923077,33.333333333333
Terrance,Ferguson,OklahomaCity,52,2,1.2903200387955,0.0,0.0,0,1,0.0,0.0,0.0,50.0,0.0,0.019230769230769,0.0
Milton,Doyle,Brooklyn,6,2,6.8965501785278,1.0,0.33333333333333,1,2,50.0,50.0,0.0,0.0,0.0,0.16666666666667,50.0
Tyler,Ennis,LALakers,41,17,10.303000450134,0.70588201284409,0.29268292682927,6,14,42.857142857143,42.857142857143,0.0,17.647058823529,0.0,0.19512195121951,35.294117647059
Tyrone,Wallace,LAClippers,21,12,5.4054098129272,1.3333300352097,0.76190476190476,8,9,88.888888888889,88.888888888889,0.0,25.0,0.0,0.047619047619048,66.666666666667
Dwight,Buycks,Detroit,24,27,12.217200279236,1.0740699768066,1.2083333333333,10,23,43.478260869565,50.0,11.111111111111,3.7037037037037,11.111111111111,0.54166666666667,48.148148148148
Larry,Nance,LALakers,42,2,0.60060101747513,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.047619047619048,0.0
Gerald,Green,Houston,28,14,4.6357598304749,0.6428570151329,0.32142857142857,4,12,33.333333333333,37.5,7.1428571428571,7.1428571428571,7.1428571428571,0.28571428571429,28.571428571429
Isaiah,Thomas,Cleveland,15,17,6.4885501861572,0.64705902338028,0.73333333333333,3,9,33.333333333333,33.333333333333,23.529411764706,35.294117647059,23.529411764706,0.4,29.411764705882
Deyonta,Davis,Memphis,47,4,1.8264800310135,1.5,0.12765957446809,3,3,100.0,100.0,0.0,25.0,0.0,0.0,75.0
Wayne,Selden,Memphis,25,15,6.726459980011,0.66666698455811,0.4,4,13,30.769230769231,38.461538461538,0.0,13.333333333333,0.0,0.36,26.666666666667
Troy,Daniels,Phoenix,68,7,1.305969953537,0.42857098579407,0.044117647058824,1,6,16.666666666667,25.0,0.0,14.285714285714,0.0,0.073529411764706,14.285714285714
Jamel,Artis,Orlando,5,3,15.789500236511,0.66666698455811,0.4,1,3,33.333333333333,33.333333333333,0.0,0.0,0.0,0.4,33.333333333333
Treveon,Graham,Charlotte,55,3,1.1952199935913,0.66666698455811,0.036363636363636,1,3,33.333333333333,33.333333333333,0.0,0.0,0.0,0.036363636363636,33.333333333333
Dante,Cunningham,NewOrleans,51,1,0.38759699463844,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.019607843137255,0.0
Corey,Brewer,LALakers,54,2,0.85106402635574,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0
DeAndre,Jordan,LAClippers,61,3,0.44977501034737,1.0,0.049180327868852,1,1,100.0,100.0,33.333333333333,33.333333333333,33.333333333333,0.0,66.666666666667
Isaiah,Canaan,Phoenix,19,20,10.581999778748,1.2000000476837,1.2631578947368,8,15,53.333333333333,56.666666666667,20.0,5.0,20.0,0.36842105263158,60.0
Jordan,Bell,GoldenState,43,7,3.5714299678802,1.1428600549698,0.18604651162791,1,2,50.0,50.0,42.857142857143,28.571428571429,42.857142857143,0.023255813953488,57.142857142857
Davis,Bertans,SanAntonio,64,4,1.0416699647903,0.5,0.03125,1,2,50.0,50.0,0.0,50.0,0.0,0.015625,25.0
Jordan,Mickey,Miami,20,2,2.127660036087,0.0,0.0,0,1,0.0,0.0,0.0,50.0,0.0,0.05,0.0
Nik,Stauskas,Brooklyn,29,5,3.5211300849915,1.6000000238419,0.27586206896552,3,5,60.0,70.0,20.0,0.0,20.0,0.068965517241379,60.0
Jamil,Wilson,LAClippers,15,1,1.0988999605179,2.0,0.13333333333333,1,1,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Steven,Adams,OklahomaCity,64,1,0.12626299262047,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.015625,0.0
Zach,Collins,Portland,51,6,2.1977999210358,0.66666698455811,0.07843137254902,1,4,25.0,25.0,16.666666666667,16.666666666667,16.666666666667,0.058823529411765,33.333333333333
Wesley,Iwundu,Orlando,51,11,5.6994800567627,0.81818199157715,0.17647058823529,4,7,57.142857142857,57.142857142857,9.0909090909091,27.272727272727,9.0909090909091,0.058823529411765,45.454545454545
Milos,Teodosic,LAClippers,37,12,3.0150799751282,1.1666699647903,0.37837837837838,4,10,40.0,60.0,8.3333333333333,8.3333333333333,8.3333333333333,0.16216216216216,41.666666666667
C.J.,Williams,LAClippers,30,10,5.2631602287292,1.2999999523163,0.43333333333333,5,8,62.5,68.75,10.0,10.0,10.0,0.1,60.0
Kawhi,Leonard,SanAntonio,10,20,13.986000061035,0.55000001192093,1.1,5,19,26.315789473684,28.947368421053,0.0,5.0,0.0,1.4,25.0
Ron,Baker,NewYork,29,5,5.5555601119995,2.0,0.3448275862069,2,3,66.666666666667,100.0,40.0,0.0,40.0,0.03448275862069,80.0
Nikola,Mirotic,NewOrleans,16,6,2.6087000370026,1.5,0.5625,4,6,66.666666666667,75.0,0.0,0.0,0.0,0.125,66.666666666667
Danuel,House,Phoenix,16,3,3.7974700927734,1.6666699647903,0.3125,2,3,66.666666666667,83.333333333333,0.0,0.0,0.0,0.0625,66.666666666667
Ersan,Ilyasova,Philadelphia,7,1,1.5872999429703,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
James,Ennis,Detroit,13,1,0.91743099689484,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.076923076923077,0.0
David,Nwaba,Chicago,55,16,3.9215700626373,0.625,0.18181818181818,3,11,27.272727272727,27.272727272727,25.0,12.5,25.0,0.14545454545455,37.5
Tyler,Cavanaugh,Atlanta,31,1,0.72992700338364,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0
